,Num_of_components,Explained_variance,Terms
0,3,0.2124797079901494,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency']]"
1,4,0.23385553508933016,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'need', 'working', 'military']]"
2,5,0.252078801558599,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police']]"
3,6,0.2689328671432381,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'military'], ['major', 'contain', 'police'], ['patient', 'food', 'cause', 'game']]"
4,7,0.2847894014984488,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['food', 'cause', 'game'], ['state', 'wearing', 'local', 'plan', 'military']]"
5,8,0.29958594432529867,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'long', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military']]"
6,9,0.313395596216936,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'military'], ['major', 'contain', 'police'], ['patient', 'long', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['public', 'flu', 'prevent']]"
7,10,0.3271013749103504,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'contain', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['risk', 'citizen']]"
8,11,0.34072364663163013,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'long', 'food', 'cause', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['public', 'prevent'], ['citizen', 'visit'], ['covid', 'risk', 'local', 'transmission']]"
9,12,0.35335812108067977,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'visit'], ['covid', 'risk', 'local', 'transmission'], ['sars', 'help']]"
10,13,0.3654755123544259,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'military'], ['major', 'police'], ['patient', 'food', 'cause', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'early', 'visit'], ['covid', 'risk', 'local', 'transmission'], ['sars', 'returned'], ['supply', 'region', 'cost', 'live']]"
11,14,0.3771456625334011,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'contain', 'police'], ['patient', 'long', 'food', 'cause', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'visit'], ['covid', 'risk', 'local', 'transmission'], ['sars', 'help'], ['supply', 'region', 'agency', 'cost', 'live'], ['product']]"
12,15,0.3888546835982896,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'food', 'cause', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'early', 'visit'], ['covid', 'risk', 'local', 'transmission'], ['sars', 'help', 'returned'], ['supply', 'region', 'agency', 'cost', 'live'], ['infected', 'product'], ['covid', 'foreign', 'daily', 'severe', 'fever']]"
13,16,0.39986608709540294,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'visit'], ['covid', 'risk', 'local', 'transmission'], ['sars', 'returned'], ['supply', 'region', 'cost', 'live'], ['infected', 'product'], ['covid', 'foreign', 'daily', 'severe', 'fever', 'increase'], ['quarantined', 'stop', 'warned']]"
14,17,0.4106694855895215,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'early', 'visit'], ['covid', 'risk', 'local', 'transmission'], ['sars', 'returned'], ['supply', 'region', 'cost', 'live'], ['product'], ['covid', 'foreign', 'daily', 'affected', 'severe', 'fever', 'increase'], ['quarantined', 'old', 'major', 'infectious'], ['economy', 'man', 'place', 'area', 'reporting']]"
15,18,0.4209970174547692,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'contain', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'visit'], ['covid', 'authority', 'risk', 'local', 'transmission'], ['sars', 'returned'], ['supply', 'plan', 'region', 'agency', 'cost', 'live'], ['infected', 'product', 'ncov'], ['covid', 'foreign', 'daily', 'severe', 'fever', 'increase'], ['quarantined', 'stop'], ['country', 'death', 'economy', 'area', 'reporting'], ['control', 'school', 'close', 'show', 'live']]"
16,19,0.4309510088033824,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'contain', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'early', 'visit'], ['covid', 'authority', 'risk', 'local', 'transmission'], ['sars', 'help', 'returned'], ['supply', 'plan', 'region', 'agency', 'cost', 'live'], ['infected', 'product'], ['covid', 'foreign', 'daily', 'severe', 'fever', 'increase'], ['quarantined', 'stop', 'infectious'], ['country', 'economy', 'man', 'doctor', 'administration', 'reporting'], ['control', 'close', 'show', 'live'], ['control', 'low', 'officer', 'effect', 'caused']]"
17,20,0.4406147432630982,"[[], ['world', 'medium', 'image', 'emergency', 'pandemic'], ['agency'], ['risk', 'working', 'military'], ['major', 'police'], ['patient', 'food', 'game'], ['state', 'wearing', 'local', 'plan', 'military'], ['doctor', 'situation', 'remain', 'nation', 'allowed', 'cost', 'live', 'commission', 'military'], ['prevent'], ['citizen', 'early', 'visit'], ['covid', 'authority', 'risk', 'local', 'transmission'], ['sars', 'returned'], ['supply', 'region', 'agency', 'cost', 'live'], ['infected', 'killed', 'product'], ['covid', 'foreign', 'daily', 'severe', 'fever', 'increase'], ['quarantined', 'stop', 'warned'], ['death', 'economy', 'doctor', 'reporting'], ['control', 'school', 'close', 'show', 'live'], ['officer', 'caused'], ['restriction', 'safety']]"
